table(1,1,68).
table(1,2,14).
table(1,3,41).
table(1,4,69).
table(1,5,89).
table(1,6,0).
table(1,7,45).
table(1,8,74).
table(1,9,65).
table(1,10,86).
table(2,1,13).
table(2,2,75).
table(2,3,37).
table(2,4,68).
table(2,5,6).
table(2,6,17).
table(2,7,70).
table(2,8,93).
table(2,9,69).
table(2,10,66).
table(3,1,72).
table(3,2,47).
table(3,3,90).
table(3,4,22).
table(3,5,74).
table(3,6,79).
table(3,7,78).
table(3,8,74).
table(3,9,24).
table(3,10,57).
table(4,1,50).
table(4,2,19).
table(4,3,34).
table(4,4,96).
table(4,5,67).
table(4,6,58).
table(4,7,87).
table(4,8,8).
table(4,9,55).
table(4,10,7).
table(5,1,3).
table(5,2,39).
table(5,3,50).
table(5,4,11).
table(5,5,97).
table(5,6,31).
table(5,7,98).
table(5,8,74).
table(5,9,71).
table(5,10,31).
table(6,1,18).
table(6,2,84).
table(6,3,49).
table(6,4,68).
table(6,5,55).
table(6,6,86).
table(6,7,20).
table(6,8,44).
table(6,9,42).
table(6,10,6).
table(7,1,22).
table(7,2,26).
table(7,3,25).
table(7,4,90).
table(7,5,24).
table(7,6,10).
table(7,7,100).
table(7,8,30).
table(7,9,29).
table(7,10,65).
table(8,1,46).
table(8,2,53).
table(8,3,1).
table(8,4,55).
table(8,5,75).
table(8,6,45).
table(8,7,32).
table(8,8,76).
table(8,9,89).
table(8,10,81).
table(9,1,23).
table(9,2,57).
table(9,3,11).
table(9,4,13).
table(9,5,22).
table(9,6,71).
table(9,7,51).
table(9,8,94).
table(9,9,88).
table(9,10,42).
table(10,1,42).
table(10,2,97).
table(10,3,13).
table(10,4,46).
table(10,5,61).
table(10,6,79).
table(10,7,70).
table(10,8,11).
table(10,9,55).
table(10,10,74).


